email_index,priority,reasoning
3263,1,Informational newsletter with no required action
3265,2,Requires response about meeting involvement
3266,1,It's a routine newsletter with no required action
3267,2,The sender requests action and clarification but no immediate deadline
3268,1,Informational news with no required action
3269,1,Promotional content with no required action
3270,1,"Informational, no action required"
3271,1,"Automated fantasy football report, no action needed"
3272,2,Provides payment approval guidelines that may require acknowledgment
3273,3,Needs confirmation for a meeting scheduled tomorrow morning
3274,1,Informational schedule with no urgent action required
3275,1,Promotional email with no required action
3276,1,Informational update with no required action
3277,1,Informational announcement with no required action
3278,2,Needs a response to confirm attendance
3279,3,Answer due Friday with urgent request for comments
3280,1,Spam-like message with no actionable request
3281,2,Request for confirmation but not time-sensitive
3282,1,"Just a thank‑you note, no action required"
3283,1,"Newsletter content, no action required"
3284,1,Spam advertisement with no actionable request
3285,1,"Condolence message, no action required"
3286,1,"Event announcement, no action required"
3287,3,Urgent legal clarification required
3288,1,Promotional email with no required action
3289,1,Informational update with no required action
3290,1,Casual personal update with no required action
3291,1,"Informational, no action required"
3292,1,Personal comment with no actionable request
3293,1,Informational report with no required action
3294,1,"Informational newsletter, no action required"
3295,3,Urgent request to confirm or schedule a call today
3296,2,"Request for coordination on integration, needs response but not urgent"
3297,1,Email is a forwarded chain with no clear actionable request
3298,1,"Promotional spam, no action required"
3300,1,Informational update about past board meeting dates
3301,1,"Informational portfolio report, no action required"
3302,1,Promotional email with no required action
3304,1,Informational notice about prescription ready for pickup
3305,1,Informational forward with no action required
3306,2,Requires clarification response but not urgent
3309,1,Simple approval with no urgent action required
3311,1,"Informational report, no action required"
3312,2,"Request for RSVP, not urgent"
3313,1,"Informational announcement about organizational changes, no action required"
3314,1,"Promotional spam, no action required"
3315,1,Email contains only forwarded header with no actionable request
3317,1,"Informational newsletter, no action needed"
3318,2,"Question about worksheet assistance, needs a response but not urgent"
3320,1,"Promotional content, no action required"
3321,1,"Message only confirms receipt, no action needed"
3322,1,"Informational newsletter, no action required"
3323,1,Informational summary with no urgent action required
3324,1,Informal request with no urgent deadline
3325,2,"User requests unsubscribe, needs response but not urgent"
3326,1,"Informational newsletter, no action required"
3327,1,"No actionable request, just personal update"
3328,3,Automated schedule download failed and requires immediate manual intervention
3330,2,Request asks for a response but lacks urgent deadline
3331,2,Request for action but no urgent deadline
3332,2,Needs response but not urgent
3333,1,Promotional content with no required action
3334,3,Reminder for an event occurring today
3335,1,Informational news article with no required action
3336,1,Email is a thank‑you note with no required action
3337,1,"Informational report, no action required"
3338,3,Urgent request to revise ETA and call today
3341,2,Needs a response to arrange a meeting but not urgent
3342,1,"Informational event announcement, no action required"
3343,1,Informational update about a bill with no required action
3344,1,"Informational confirmation, no action required"
3347,1,"Informational notice of order completion, no action needed"
3348,1,Unsolicited promotional spam with no required action
3349,1,"Spam greeting, no action required"
3350,3,Urgent request for March curtailment numbers before an imminent call
3351,1,Event announcement with no required action
3352,1,"Informational marketing announcement, no action required"
3353,1,"Promotional conference announcement, no action required"
3354,3,Urgent flight schedule change requires immediate action
3355,3,Potential malware spread requires immediate action
3356,1,"Forwarded spam content, no action needed"
3357,1,Informational market update with no required action
3359,1,Informational report with no required action
3360,2,Request to present sessions requires a response but no urgent deadline
3361,2,Informative proposal requires follow-up but not urgent
3362,1,"Spam promotional email, no action needed"
3363,1,"Informational comment about net metering, no action required"
3364,2,Needs response to reschedule meeting
3365,1,"Promotional event announcement, no action required"
3366,3,The email references a make-or-break deal requiring immediate attention
3367,2,Request for summer work requires a response
3368,1,Email appears to be an informational forward with no explicit action required
3369,1,Informational update with no required action
3370,1,It's a forwarded contest announcement with no required action
3371,2,Needs coordination for upcoming committee meetings
3372,2,Request for board meeting to resolve securities disposition
3374,1,Promotional email with no required action
3376,2,Needs a response to schedule a meeting time
3377,1,Informational newsletter with no required action
3378,1,Promotional email with no required action
3379,3,Event occurs today and is time-sensitive
3380,1,"Spam advertisement, no action required"
3381,2,Requires response to discuss next design and implementation steps
3382,2,Contains a request for a response but no urgent deadline
3383,1,Promotional content with no required action
3384,1,Informational update with no required action
3385,1,"Informational announcement, no action required"
3386,1,Email contains garbled text with no actionable request
3387,1,"Promotional spam, no action needed"
3389,1,"Informational announcement, no action required"
3390,1,"Informational news digest, no action required"
3391,2,User is asked to complete a survey before migration
3392,3,Contains sensitive credentials requiring immediate attention
3393,1,Promotional content with no required action
3394,1,Promotional content with no actionable request
3395,2,Needs response to update contact information
3396,1,Informational news content with no required action
3397,1,"Personal email, no action needed"
3398,2,Action requested for new procurement procedures
3399,2,Rescheduled meeting requires a response if unable to attend
3400,2,"Requires response to scheduling and plans, but not urgent"
3403,1,"FYI only, no action required"
3404,1,"Informational content, no action required"
3405,2,Requires response regarding board placement decision
3406,1,"Informational email with contact details, no action required"
3407,1,"No actionable request, just a forwarded message"
3408,1,Generic solicitation with no urgent action required
3410,2,The email asks a question that requires a response but is not urgent
3411,2,Requires response to reschedule a meeting room
3412,3,Urgent request to populate and distribute today
3413,1,Informational reply with no urgent action required
3414,1,"Informational political content, no urgent action needed"
3416,2,Question about fax copies requires a response but not urgent
3417,1,Informational forwarded email with no clear action required
3418,1,Informational newsletter with no required action
3419,1,Informational newsletter with no required action
3420,3,Meeting scheduled for tomorrow requires immediate attendance
3421,3,Urgent legal stop payment request requiring immediate action
3422,1,"Informational announcement, no action required"
3423,1,"No actionable request, just a forwarded informational message"
3424,1,"Spam advertisement, no action required"
3426,1,Vague informational email with no urgent action required
3427,1,Message is unclear and not urgent
3428,1,"Informational comment, no action required"
3429,1,Informational invitation with no required action
3431,2,Needs clarification on contract definitions
3432,1,Informational request with no urgent action required
3433,2,"Question about portal usage, needs response but not urgent"
3434,1,"Informational forward about voting, no action required"
3435,1,Rant with no actionable request
3436,2,Needs response but not urgent
3437,3,Contains a violent threat that requires immediate attention
3438,2,Request for turbine purchase requires a response but has no urgent deadline
3439,1,"Informational confirmation, no action needed"
3440,1,"Informational newsletter, no action required"
3441,1,Email is informational with no required action
3442,1,Informational update about migration limitations
3443,2,Request to arrange a meeting requires a response but has no urgent deadline
3444,1,"Informational event notice, no action required"
3445,2,Needs a response to confirm attendance for an upcoming event
3446,1,"Promotional newsletter, no action needed"
3448,1,"Informational newsletter, no action required"
3449,1,Promotional newsletter with no actionable request
3450,1,"Promotional email, no action required"
3451,3,Requires review before the upcoming Aug 8 meeting
3452,1,Promotional newsletter with no required action
3454,1,Chain-letter style message with no required action
3455,3,High importance and confidential attorney-client matter requires immediate attention
3456,1,Promotional newsletter with no required action
3457,1,"Informational notice about an executive order, no action required"
3458,1,The email is an informational update about illness with no required action
3459,1,"Spam advertisement, no action required"
3460,1,"No actionable request, just a brief reply"
3461,2,Deadline for performance feedback requires response
3462,2,Needs a response to schedule a discussion for tomorrow
3463,1,"Order confirmation email, no action required"
3464,1,Informational request with no urgent action needed
3465,3,Schedule download failed and needs immediate manual intervention
3466,1,"Out of office notice, no immediate action required"
3467,2,"Request to review attached document, not urgent"
3468,1,Informational news alert with no required action
3469,1,"Provides information only, no action required"
3472,1,"Contains news headlines, no action needed"
3473,1,The email is a forwarded message with no clear request or urgency
3474,1,The email is an FYI forward with no clear action required
3475,3,Attending meeting today requires immediate response
3476,1,Promotional newsletter with no required action
3477,1,"Informational summary of past conference call, no action needed"
3479,2,Request for additional attachment requires a response
3480,1,"Newsletter is informational, no action required"
3481,1,Informational update with no required action
3482,1,"Automated fantasy football report, no action required"
3483,1,"Automated fantasy football report, no action required"
3484,1,"Promotional newsletter, no action required"
3485,1,Weekly status update is informational
3486,1,"Informational update, no action required"
3487,1,The email is a brief acknowledgment with no actionable request
3489,2,Contains comments that likely need a response but no urgent deadline
3492,1,Email provides informational news summary with no required action
3493,3,"Reminder about a conference call happening today, requires immediate attention"
3494,2,"Needs clarification and follow-up, not urgent"
3495,1,"Informational survey email, no action required"
3496,2,Needs clarification on tax ID usage and may require a response
3497,1,"Unsolicited promotional content, no action required"
3498,1,Informal acknowledgment with no required action
3499,1,"Informational news article, no action required"
3500,1,"Informational FYI about Christmas party, no action required"
3501,1,Meeting notice is informational with no urgent action required
3502,1,It's a forwarded humorous message with no required action
3503,2,Casual personal question that requires a response but is not urgent
3504,1,Email contains informal remarks with no clear action required
3505,1,Promotional email with no required action
3506,1,"Acknowledgement only, no action required"
3508,1,Informational update about bill schedule
3509,2,"Reply confirming a future touch base, not urgent"
3510,1,Promotional content with no actionable request
3511,1,Informational FYI with no required action
3512,2,Needs a response to choose office preference
3514,1,Spam advertisement with no actionable request
3515,2,"Request for review and comments, requires response but not urgent"
3516,2,Needs response about legal expertise but not urgent
3517,1,Informational event invitation with no required response
3518,1,"Informational about conference dates, no action required"
3519,1,"Informational update about concluded deals, no action required"
3520,3,Scheduled conference call today requires immediate action
3521,1,Promotional newsletter with no required action
3522,2,Clarification request requiring a response
3523,3,Urgent deadline requires immediate timesheet approval
3524,1,Informational email with no required action
3525,1,Forwarded game announcement with no required action
3527,1,Informational update with no required action
3529,3,Urgent request for Dell options needed today
3530,1,"Informational market update, no action required"
3531,2,"Legal opinion requested, needs a response but not immediate"
3533,1,"Unsolicited spam advertisement, no action needed"
3534,2,Sender requests prompt review of a bio
3535,1,"Unsolicited promotional spam, no action required"
3536,1,Email contains informational news summaries with no required action
3537,1,"General cost-saving suggestion, no immediate action required"
3539,2,Requires follow-up contact for questions
3540,2,Provides answers to questions and may need a reply but not urgent
3541,1,Informational announcement with no required action
3542,1,Informational update with no immediate action required
3543,1,Acknowledgment with no action needed
3544,1,Informational email with no required action
3545,1,Informational content with no required action
3546,1,Promotional email with no required action
3547,3,Email contains production credentials that need immediate security action
3548,1,"Informational newsletter, no action required"
3549,1,"Informational commentary, no action required"
3550,1,"Informational news items, no action required"
3551,1,Informational update with no required action
3552,1,"Automated bounce notice, no immediate action needed"
3553,1,Informational forward with no required action
3554,1,Informational update with no required action
3556,3,Contains sensitive credentials that need immediate action
3557,2,Needs response to discuss future arrangement
3558,1,"Promotional travel deal, no action required"
3560,2,Needs a response to coordinate meeting details
3562,2,Requires review and edits to the draft press release
3563,1,"Informational, no action needed"
3564,2,Requires follow‑up on deal details but not urgent
3565,1,Promotional email with no required action
3566,1,Informational update with no immediate action required
3568,3,Schedule download failed and requires immediate manual intervention
3569,2,"Request for survey creation and coordination, needs response but not urgent"
3570,1,"Provides schedule information, no action required"
3571,1,Informational announcement with no required action
3572,2,Requires follow‑up on pending document but not urgent
3573,1,"Spam advertisement, no action needed"
3574,2,Needs clarification on loan terms and requires a response
3575,1,Email contains only a forwarded message with no clear action required
3577,2,Requires a response but not time-sensitive
3578,1,"Provides meeting details only, no action required"
3579,2,Requires response to adopt new procedures
3580,2,Request for task completion but no urgent deadline
3581,1,"It's a forwarded weekly newsletter, informational only"
3582,1,"No clear request or urgency, appears as a forwarded chain"
3583,2,"The email asks for an assessment, requiring a response but not urgent"
3584,3,Meeting at 6 requires immediate response
3585,1,The email is informational and the registration deadline has already passed
3586,2,Provides visit instructions requiring action but not urgent
3587,3,Past due invoice requires immediate action
3588,1,Informational invitation with no required action
3589,2,Request for opinion requires a response but not urgent
3590,1,"Spam advertisement, no action required"
3591,1,Promotional email with no required action
3592,1,It's an informational report with no required action
3593,2,Needs clarification and response about closing timeline
3594,1,Content is a non-actionable anecdote
3596,1,"No actionable request, just informal comment"
3597,1,"Informational notice about a job fair, no action required"
3598,1,"Promotional offer, no immediate action required"
3599,1,Informational newsletter with no required action
3601,3,Urgent request for recommendations requiring immediate response
3602,1,"Promotional email, no action required"
3603,1,Promotional devotional content with no required action
3604,2,Needs a response to coordinate plans but not urgent
3605,1,Informational announcement with no required action
3606,1,"Informational corporate news, no action required"
3607,1,Informational update with no required action
3608,1,"Informational update, no action required"
3609,1,"Acknowledgment only, no action required"
3610,1,"Informational update, no action required"
3611,2,Time-sensitive reminder to vote before deadline
3612,1,Informational update with no required action
3613,1,Informational announcement with no required action
3614,1,"Informal forwarded baby pictures, no action required"
3615,2,Request for performance feedback requires a response but is not urgent
3616,2,Sender is asking for a response about availability
3617,1,"Just a friendly message, no action required"
3618,1,Forwarded petition appears informational with no urgent action required
3619,1,Informational newsletter with no required action
3620,1,"Informational daily report, no action required"
3621,1,"Informational announcement about a print sale, no action required"
3622,1,Informational announcement about upcoming event
3623,1,Internal note with no urgent action required
3624,1,Informational memo about a conference call
3625,1,"Informational newsletter, no action required"
3626,3,Urgent deadline requires action by October 26
3627,2,Needs a timely response to confirm conference slot
3628,3,High importance flag and regulatory update likely requires immediate action
3630,1,"Informational newsletter, no action required"
3631,2,Need to update distribution list
3632,1,"Promotional mortgage offer, no action required"
3635,3,"Requires delivery of information by noon, making it urgent"
3636,1,Poll invitation is informational and not urgent
3637,3,Time-sensitive request to confirm interview travel for upcoming Monday
3638,1,"Informational news update, no action required"
3639,1,"Informational news snippet, no action required"
3640,2,"Needs clarification about project involvement, requires a response"
3641,2,Needs clarification and response but not urgent
3642,1,"Informational invitation, no action required"
3643,1,Email only shares flood pictures with no required action
3644,2,"Requires action to assign RC and allocate costs, but not urgent"
3645,1,"Informational discussion, no immediate action required"
3647,2,Needs clarification or feedback but not urgent
3649,1,Brief acknowledgment with no required action
3650,1,Informational email with no required action
3652,1,"Spam promotional email, no action required"
3653,2,Needs response to coordinate arguments but not urgent
3654,1,"Forwarded conference information, no action required"
3655,3,Schedule download failed and requires immediate manual intervention
3656,1,Informational update with no required action
3657,2,Requires review of attached revised drafts
3658,1,Promotional email with no required action
3659,1,Promotional email with no required action
3660,1,"Promotional informational email, no action required"
3661,2,Requires response to discuss speaker invitation
3662,3,Requires immediate coordination for tomorrow's meetings
3663,1,Informational forwarded note with no required action
3664,1,"Promotional sale email, informational only"
3665,1,Promotional spam with no required action
3666,2,Likely a reply needed but not urgent
3667,2,Requires coordination for upcoming FERC meeting
3668,1,Informational forward with no required action
3670,2,Requires response to coordinate meeting and discuss opportunity
3671,1,Informational content with no required action
3673,1,"Informational alert, no action required"
3674,1,"No actionable request, appears to be a casual forwarded message"
3675,3,"Event is tomorrow, requiring immediate attention"
3676,1,"Informational news update, no action required"
3677,3,Schedule download failed and requires immediate manual intervention
3678,1,Informational newsletter with no required action
3679,2,Needs a response to address feedback on the draft
3680,1,"Promotional discount email, no action required"
3681,1,Promotional spam with no urgent action required
3682,3,Schedule download failed and requires immediate manual intervention
3684,1,Informational forward with no required action
3686,2,Needs response to review and sign agreement
3687,1,Promotional email with no required action
3688,1,FYI forwarded message with no action required
3690,1,Informational job announcement with no urgent action required
3691,1,Promotional content with no required action
3692,2,Follow-up inquiry about interview status requires a response but is not urgent
3694,1,Email appears to be unsolicited spam with no actionable request
3695,1,"Informational comment, no action needed"
3696,3,Urgent discussion needed before filing deadline
3697,1,Personal update with no required action
3698,2,Trade settlement details require a response but no immediate deadline indicated
3699,1,Simple forwarding request with no urgent deadline
3700,3,Schedule download failed and requires immediate manual intervention
3701,1,Informational forward with no urgent action required
3702,1,Informational FYI with no action required
3703,1,"Informational event invitation, no action required"
3706,1,"Informational news snippets, no action required"
3707,2,Request to attend a presentation requires a response but has no urgent deadline
3709,2,"Request for call-in info, needs response but not urgent"
3710,1,Informational news digest with no required action
3711,1,Promotional email with no required action
3712,3,Meeting request for tomorrow requires immediate response
3713,1,Email provides an updated phone list with no required action
3714,1,FYI informational email with no required action
3715,1,Informational newsletter with no required action
3716,2,Requires a response to discuss plans but not urgent
3717,2,Requires coordination and response but not urgent
3718,1,Spam advertisement with no actionable request
3719,1,Generic marketing email with no actionable request
3720,1,Informational update with no required action
3721,2,Needs clarification and response but not urgent
3722,1,Informational invitation with no required action
3723,2,Request for transition steps requires a response
3725,2,Deal not completed and requires follow‑up
3726,1,Informational forward with no required action
3727,2,"Candidate submitted resume for a job opening, requires a response"
3729,1,"Informational news, no action required"
3730,1,Informational update with no required action
3731,1,"Informational update about attending a game, no action required"
3733,2,Requires a response to legal/regulatory questions but not urgent
3734,1,"Email contains no actionable request, only offensive content"
3735,1,Informational email with no action required
3736,2,Needs analysis and guidance but no urgent deadline
3737,1,Reservation confirmation is informational
3738,1,Email contains only a humorous comment with no actionable request
3739,1,Informational update about organizational changes
3740,1,Newsletter is informational with no required action
3741,1,Spam advertisement with no actionable request
3742,1,Informational update with no required action
3743,1,"Promotional announcement, no action required"
3744,2,Requires action to contact John Lavorato but no urgent deadline
3745,1,Informational email with no actionable request
3746,1,No actionable request or urgency indicated
3747,1,"Spam promotional email, no action required"
3748,1,"Informational notice about a public meeting, no immediate action required"
3749,3,Schedule download failed and requires immediate manual intervention
3750,2,"Request for comments on draft testimony, requires response but not urgent"
3751,2,Requires a follow‑up response but not urgent
3752,1,Informational forward with no action required
3753,2,Requires clarification or response but not urgent
3754,1,"Informational news article, no action required"
3755,2,Benefits enrollment announcement requires employee action
3756,1,Informational newsletter with no required action
3757,1,Email contains only a brief acknowledgement with no actionable request
3758,2,Needs response to confirm speaking engagement
3759,1,Informational suggestion with no urgent action required
3760,3,Meeting schedule change requires immediate attention
3763,1,"Informational confirmation, no action required"
3764,1,"Promotional newsletter, no action required"
3765,1,"Unsolicited marketing spam, no action needed"
3766,3,Urgent request to prepare and fax a letter immediately
3767,1,Personal message with no actionable request
3768,2,Requires response to schedule interview
3769,1,"Informational reminder about upcoming events, no action required"
3770,1,Informational newsletter with no required action
3772,2,Requires response to schedule Saturday meeting and discuss foundation contribution
3773,2,Scheduling request requires a response but is not urgent
3774,2,Request for travel info before Monday
3775,1,Short acknowledgment with no actionable request
3776,2,Payment dispute requires a response but is not immediately urgent
3777,2,The email asks a question requiring a response but is not time-sensitive
3778,2,Needs confirmation and follow-up but not urgent
3779,2,Request to schedule a call requires a response but is not urgent
3781,1,"Informational newsletter, no action required"
3783,1,Informational announcement with no required action
3784,3,Time-sensitive property acquisition requires immediate action
3785,1,"Spam promotional email, no action required"
3786,1,It's a news digest with no required action
3787,1,"Announces organizational change and enhancements, no immediate action required"
3788,1,"Informational newsletter, no action required"
3789,2,Needs a response but not urgent
3791,1,Email lacks clear actionable request
3793,1,Informational update with no required action
3795,1,"Issue clarified and resolved, no further action required"
3796,1,Generic forwarded greeting with no actionable request
3798,1,"Spam promotional email, no action required"
3799,3,Schedule download failed and requires immediate manual intervention
3800,2,Request for a birthday card is time-sensitive but not urgent
3801,1,Informational email with no required action
3802,1,Informational announcement with no urgent action needed
3803,1,"Informational memo about upcoming performance cycle, no immediate action required"
3804,1,Informational forward with no required action
3805,3,"Discount deadline approaching, requires timely action"
3806,1,Personal farewell email with no required action
3807,1,Informational update with no required action
3808,1,Automated news alert with no actionable request
3809,1,Urgent-sounding spam with no actionable request
3812,2,Requires a response but not urgent
3813,2,"Requires scheduling a meeting after data arrives, but not urgent"
3814,1,"Informational notice about a delay, no immediate action required"
3815,2,Requires a response to correct the recipient list
3816,1,"Automated fantasy football report, no action required"
3818,2,Requires response to financial request but no immediate deadline
3819,1,"Informational newsletter, no action required"
3820,1,Promotional newsletter with no required action
3822,2,Needs a response to coordinate scheduling
3823,1,"Informational, no action required"
3824,1,"Informational news snippet, no action required"
3826,2,Discrepancy in flow data requires follow‑up but is not urgent
3828,1,Informational notice about cancelled training
3829,2,Announcement requires enrollment action but not urgent
3831,1,Informational forward with no clear action required
3833,2,Needs response but not urgent
3834,2,Needs a response but not urgent
3837,2,Requires response to review redline changes
3838,1,"Informational news, no action required"
3839,1,Non-urgent survey request and informational content
3840,1,Informational forwarded email with no action required
3841,1,"Simple confirmation, no urgent action required"
3842,2,Group needs to discuss proposal but no urgent deadline
3843,1,Promotional email with no required action
3845,1,Promotional email with no required action
3846,1,"Simple acknowledgment, no action required"
3848,1,"Promotional fare alert, no urgent action required"
3849,2,"Request for additional attachment, needs a response but not urgent"
3850,1,"Informational note about email address, no action required"
3851,1,Email appears to be informational with no explicit request
3852,1,"Informational welcome email, no action needed"
3854,1,"Promotional trial reminder, no urgent action required"
3855,1,"No actionable content, appears spam"
3856,1,"Promotional email, no action required"
3857,1,Informational update with no required action
3858,1,"Informational announcement about restructuring, no action required"
3859,1,"Informational update, no action required"
3860,1,Informational update with no required action
3861,1,"Informational announcement, no action required"
3862,1,"Promotional marketing email, no action required"
3864,1,The email appears to be an informational forward with no urgent action required
3865,1,Informational newsletter with no required action
3867,3,Urgent request for same-day confirmation
3868,2,Needs clarification on which lawyer is handling the matter
3869,2,Needs clarification and response but not urgent
3870,1,Informational summary with no required action
3871,1,Informational email with no required action
3872,1,Forwarded message appears informational with no clear action required
3873,1,"Spam marketing email, no action required"
3875,1,Email is informational about a game attendance with no required action
3876,1,Informational reply with no required action
3878,1,Informational content with no required action
3879,1,Informational newsletter with no required action
3880,2,Needs clarification and response but not urgent
3881,1,"Promotional email, no action required"
3882,2,Request asks for a response but lacks urgency
3884,1,Email contains only a forwarded notice with no actionable request
3885,1,Informational update with no required action
3886,1,Spam content with no actionable request
3887,1,"Promotional content, no action required"
3888,1,Informational forward with no actionable request
3889,1,Informational market update with no required action
3890,2,"The email requests support and coordination, requiring a response but no immediate deadline"
3891,1,"Spam advertisement, no action required"
3892,1,Informational update with no required action
3893,1,Informational forwarded email with no action required
3894,1,Informational email with no urgent action required
3895,1,"No actionable request, purely informational"
3896,1,"Informational alumni newsletter, no action required"
3897,1,Newsletter content is informational with no required action
3898,1,"No actionable request, just a forwarded message"
3899,1,"Promotional content, no action required"
3900,1,Promotional email with no required action
3901,3,Operational difficulties and imminent actions require immediate attention
3902,1,Holiday greeting with no actionable request
3903,1,Promotional newsletter with no required action
3904,3,High-stakes case requiring immediate action
3905,2,"Needs confirmation on IT request, not urgent"
3907,3,Urgent request for a deal ticket
3908,1,Informational agenda with no immediate action required
3910,1,Forwarded email with no clear request or urgency
3912,1,Informational event announcement with no required action
3913,1,"Promotional content, no action required"
3914,2,Reminder requires response before upcoming volunteer shifts
3915,1,Survey invitation with non-urgent deadline
3916,1,"Email contains no actionable request, just a skeptical comment"
3917,2,Requires action on agreement changes but not urgent
3918,1,Forwarded informational email with no clear action required
3919,1,"Informational stock market article, no action required"
3920,2,Requires updating confirmation templates but not urgent
3921,1,"Spam advertisement, no action required"
3922,1,"Promotional spam, no action required"
3923,2,Request requires action to convince a colleague but is not urgent
3924,1,Informational email with no required action
3925,2,User asks for event timing and needs a response
3926,1,"Informational news summary, no action required"
3927,1,Informational newsletter with no required action
3928,3,Requires same‑day discussion
3929,2,The email asks a question that needs a response but is not urgent
3930,1,Birthday greeting with no required action
3931,1,Promotional email with no required action
3932,2,Requires feedback on draft comments but not urgent
3933,2,Requires a response to clarify payment details but not urgent
3934,3,Urgent request for volunteer information with a short deadline
3935,1,Informational update with no action needed
3936,2,Needs response about confirmation status
3937,2,Needs response to coordinate logistics
3938,3,Urgent discussion needed for tomorrow's conference call
3939,1,Informational email with no required action
3940,1,Informational newsletter with no required action
3941,1,Informal message with no actionable request
3942,3,Time-sensitive request to meet June 15 deadline
3943,2,Follow-up email requiring a response but not urgent
3944,2,Needs response to meet upcoming Monday deadline
3945,1,"Informational market update, no action required"
3946,1,"Announcement of new website, no action required"
3947,1,Informational email with no required action
3948,1,Informational FYI with no required action
3949,1,Forwarded informational email with no clear action required
3950,1,Informational forward with no action required
3952,2,Requires legal review and response
3953,3,Urgent request for tournament data needed immediately
3955,2,Question requires a response but is not urgent
3956,1,"Informational announcement, no action required"
3958,1,Informational email with no actionable request
3959,1,Informational update with no required action
3961,1,"Just a joke, no action needed"
3962,2,Requires clarification and response but not urgent
3963,3,Survey is due today and needs immediate completion
3964,2,Complaint about work issue requiring response but not urgent
3965,3,Schedule download failed and requires manual intervention
3966,1,"Informational newsletter, no action required"
3967,2,Needs clarification and discussion but not urgent
3969,1,"No actionable request, informal message"
3970,2,Requires response to coordinate legal and funding details
3971,2,Reminder about upcoming registration requiring action
3972,2,Request to update distribution lists requires action but is not urgent
3973,1,Email contains no actionable request or urgency
3974,1,"Promotional recruitment email, no action required"
3975,1,Forwarded message with no actionable request
3976,1,Informational forwarded content with no required action
3977,1,Promotional newsletter with no required action
3978,1,"Promotional travel offer, no action required"
3979,2,"Meeting request, not urgent"
3980,2,Requires user to update data but not urgent
3981,2,"Request for additional information, not urgent"
3982,1,"Forwarded email with no clear request, informational"
3983,1,"Promotional travel email, no action required"
3984,1,Informational update about staffing process with no urgent action needed
3985,2,"Needs a response to schedule a meeting, but not urgent"
3988,1,"Informational newsletter, no action required"
3989,1,"Informational policy notice, no action required"
3990,3,Urgent request for a decision on judging role
3991,2,"Request to forward a spreadsheet, requires action but not urgent"
3993,1,Informal personal update with no urgent action required
3994,3,Schedule download failed and requires immediate manual intervention
3995,1,Informational newsletter with no required action
3996,1,Casual holiday inquiry with no urgent action required
3997,1,Just a forwarded poem with no action required
3998,2,Action required before deadline
3999,1,"Promotional newsletter, no action required"
4000,2,Personal concern requiring a response
4001,2,Scheduling confirmation requires a response but is not urgent
4002,2,"Request for input on a training course, needs a response but not urgent"
4003,1,Forwarded message with no actionable request
4004,1,"Spam solicitation, no action needed"
4005,1,Informational content with no actionable request
4006,1,"Birthday greeting and invitation, no urgent action required"
4007,1,"Promotional informational email, no action required"
4008,3,Urgent request for assistance with tomorrow's broadcast
4010,2,"Request to contact Greg, not urgent"
4011,1,Promotional email with no required action
4012,2,Request for PCB information requires a response but is not urgent
4013,1,Informational update with no urgent action required
4014,1,"Promotional spam, no action required"
4015,1,"Informational announcement, no action needed"
4016,1,Informational broadcast with no required action
4017,3,Urgent action required to resolve past due invoice
4018,2,"Request to add a note, requires action but not urgent"
4019,1,Email is FYI only with no required action
4020,2,Requires a response to coordinate scheduling but not urgent
4021,1,Informational briefing with no required action
4022,1,"Automated report, no action required"
4023,1,Informational news with no required action
4024,1,Promotional newsletter with no actionable request
4025,1,"Contains only insults, no actionable request"
4026,1,Informational FYI with no required action
4027,2,Solicitation requires a response but is not time-sensitive
4029,1,Informational update with no required action
4030,2,Requires a response but not urgent
4031,1,Informational announcement about website redesign with no required action
4032,2,Invitation to event requires RSVP
4034,1,Provides event details with no immediate action required
4035,2,"Request to remove a contact from mailing lists, not urgent"
4036,2,Informational issue that may need a response but not urgent
4037,1,Promotional spam with no actionable request
4038,1,Informational email with no required action
4039,1,"Condolence message, no action required"
4040,2,Needs clarification response about vacation hours
4041,1,"Informational newsletter, no action required"
4042,1,Informational forward with no action required
4043,1,"Informational update about seminars, no action required"
4044,2,Speaker invitation requires a response but is not time-sensitive
4045,1,"Informational email about an arrest, no action needed"
4046,1,"Spam promotional content, no action required"
4047,1,"Confirmation of lunch plans, no further action needed"
4048,2,Requires discussion but not urgent
4049,1,"Informational newsletter, no action required"
4050,2,Needs response to confirm meeting time
4051,1,"No action required, just a notification"
4052,1,Informational news update with no required action
4053,2,"Request for opinion, requires a response but not urgent"
4056,1,"Informational contact details, no action required"
4057,1,Email appears to be a forwarded informational message with no clear action required
4058,1,"Informational announcement, no action required"
4059,1,Promotional email with no required action
4060,1,Forwarded notification appears informational with no clear action required
4061,1,Informational email with no required action
4062,1,"Just sharing new email address, no action required"
4063,1,Informational update with no required action
4064,2,Needs a response regarding undergraduate invitations
4065,2,Meeting notice requires response
4067,1,Informal message with no actionable request
4069,2,Needs a response to document comment but not urgent
4070,1,"Email contains no actionable request, only forwarding information"
4072,2,Requires response/action but not urgent
4073,3,"Interventions are due today, requiring immediate attention"
4074,1,"Promotional content, no action required"
4075,3,Urgent demand for commission requiring immediate attention
4076,1,"Informational newsletter, no action required"
4077,2,Meeting request requires a response but is not urgent
4078,1,"Informational news about Enron, no action required"
4080,1,"Informational news update, no action required"
4081,2,Needs confirmation from Jeff
4082,1,The email contains a rant with no actionable request
4083,1,"Promotional spam, no action required"
4084,1,Informational email with no required action
4085,1,Email is only FYI with no action required
4086,1,Promotional email with no required action
4087,1,"Informational update, no action required"
